date	open	high	low	close	price	total_volume	market_cap	price_change_pct	market_cap_rank	circulating_supply	month	year	quarter	day_of_week	rolling_7d_avg	rolling_30d_avg	volatility_7d	volume_usd
6/1/2023	1839.62	1897.76	1787.55	1839.74	1839.74	6620386312	2.20768E+11	0	2	120043101	June	2023	Q2	Thursday				6620386312
6/2/2023	1791.21	1807.57	1782.04	1797.04	1797.04	10082909740	2.15645E+11	-2.3761	2	119918121	June	2023	Q2	Friday				10082909740
6/3/2023	1899.01	1878.8	1817.88	1868.01	1868.01	17038785194	2.24161E+11	3.7993	2	119854640	June	2023	Q2	Saturday				17038785194
6/4/2023	1935.41	1977.9	1905.62	1946.13	1946.13	13580729651	2.33535E+11	4.0139	2	120060656	June	2023	Q2	Sunday				13580729651
6/5/2023	1819.47	1853.71	1767.32	1813.63	1813.63	12690015889	2.17635E+11	-7.3058	2	120095439	June	2023	Q2	Monday				12690015889
6/6/2023	1831.32	1879.91	1801.87	1821.69	1821.69	9402332348	2.18602E+11	0.4425	2	119926251	June	2023	Q2	Tuesday				9402332348
6/7/2023	1936.33	2031.89	1913.99	1974.79	1974.79	18976305791	2.36975E+11	7.753	2	120057933	June	2023	Q2	Wednesday	1865.86		68.8126	18976305791
6/8/2023	1930.41	1957.39	1850.36	1917.86	1917.86	10955225619	2.30144E+11	-2.9683	2	119958052	June	2023	Q2	Thursday	1877.02		70.1911	10955225619
6/9/2023	1803.37	1853.53	1803.9	1826.9	1826.9	6306391502	2.19228E+11	-4.9793	2	120085283	June	2023	Q2	Friday	1881.29		65.254	6306391502
6/10/2023	1951.15	1992.25	1899.82	1915.81	1915.81	14255997742	2.29898E+11	4.6412	2	119879686	June	2023	Q2	Saturday	1888.12		66.1282	14255997742
6/11/2023	1817.35	1879.97	1832.51	1843.25	1843.25	6707575902	2.21191E+11	-3.9365	2	120156086	June	2023	Q2	Sunday	1873.42		62.4138	6707575902
6/12/2023	1844.63	1889.44	1800.1	1850.95	1850.95	10178347142	2.22114E+11	0.4156	2	119914964	June	2023	Q2	Monday	1878.75		57.885	10178347142
6/13/2023	1883.63	1935.94	1865.12	1915.4	1915.4	12611179081	2.29848E+11	3.3648	2	119947114	June	2023	Q2	Tuesday	1892.14		53.1303	12611179081
6/14/2023	1785.56	1808.22	1708.51	1750.76	1750.76	18113337870	2.10092E+11	-9.4035	2	119823237	June	2023	Q2	Wednesday	1860.13		61.8102	18113337870
6/15/2023	1773.72	1825.5	1750.3	1773.57	1773.57	12403198705	2.12828E+11	1.2858	2	119844605	June	2023	Q2	Thursday	1839.52		63.3897	12403198705
6/16/2023	1881.41	1898.11	1839.24	1874.26	1874.26	15533881490	2.24911E+11	5.3723	2	120006345	June	2023	Q2	Friday	1846.29		64.3385	15533881490
6/17/2023	1813.87	1860.39	1798.2	1845.84	1845.84	19892252585	2.215E+11	-1.5398	2	119907037	June	2023	Q2	Saturday	1836.29		56.7213	19892252585
6/18/2023	1979.15	2016.03	1915.69	1959.56	1959.56	6972336798	2.35147E+11	5.8036	2	120134192	June	2023	Q2	Sunday	1852.91		73.6188	6972336798
6/19/2023	1847.58	1921.44	1795.3	1869.27	1869.27	9120972883	2.24313E+11	-4.8301	2	119805877	June	2023	Q2	Monday	1855.52		73.8629	9120972883
6/20/2023	1865.6	1863.1	1818.41	1836.36	1836.36	10918641134	2.20363E+11	-1.7925	2	119951638	June	2023	Q2	Tuesday	1844.23		69.0698	10918641134
6/21/2023	2049.48	2153.34	2013.12	2073.95	2073.95	11327422678	2.48873E+11	11.4559	2	119934938	June	2023	Q2	Wednesday	1890.4		98.0951	11327422678
6/22/2023	1921.83	1965.93	1908.64	1945.91	1945.91	11165316129	2.33509E+11	-6.5798	2	119807731	June	2023	Q2	Thursday	1915.02		84.5818	11165316129
6/23/2023	1939.93	2016.37	1937.07	1976.57	1976.57	18614165038	2.37189E+11	1.5514	2	119849747	June	2023	Q2	Friday	1929.64		85.2016	18614165038
6/24/2023	1862.23	1935.2	1808.16	1864.31	1864.31	15710489667	2.23717E+11	-6.0218	2	119965457	June	2023	Q2	Saturday	1932.28		82.4144	15710489667
6/25/2023	1946.81	1980.01	1885	1941.77	1941.77	14118578211	2.33013E+11	3.9893	2	119997146	June	2023	Q2	Sunday	1929.73		81.704	14118578211
6/26/2023	1966.38	2055.87	1921.71	2001.14	2001.14	9640590768	2.40137E+11	2.9668	2	119961716	June	2023	Q2	Monday	1948.57		80.6349	9640590768
6/27/2023	1928.06	1943.12	1888.94	1907.05	1907.05	17356855763	2.28846E+11	-4.9342	2	120012375	June	2023	Q2	Tuesday	1958.67		67.6147	17356855763
6/28/2023	2032.14	2065.67	2018.35	2035.95	2035.95	19325907672	2.44313E+11	6.3312	2	120038053	June	2023	Q2	Wednesday	1953.24		57.6006	19325907672
6/29/2023	1966.42	2041.99	1904.88	1964.51	1964.51	17317974238	2.35741E+11	-3.6364	2	119803970	June	2023	Q2	Thursday	1955.9		57.635	17317974238
6/30/2023	1991.07	2034.37	1945.41	1995.79	1995.79	5023476578	2.39495E+11	1.5677	2	119985638	June	2023	Q2	Friday	1958.65	1898.26	59.2198	5023476578
7/1/2023	1969.62	2049.23	1948.6	1977.47	1977.47	14546020553	2.37296E+11	-0.9269	2	120185400	July	2023	Q3	Saturday	1974.81	1902.85	42.1659	14546020553
7/2/2023	2185.36	2208.6	2163.19	2180.15	2180.15	5767030722	2.61619E+11	9.297	2	120007613	July	2023	Q3	Sunday	2008.87	1915.62	85.2663	5767030722
7/3/2023	2009.07	2062.54	2020.87	2037.16	2037.16	8864108305	2.44459E+11	-7.0194	2	120071017	July	2023	Q3	Monday	2014.01	1921.26	85.8076	8864108305
7/4/2023	1934.85	1971.72	1888.65	1959.78	1959.78	5892870505	2.35174E+11	-3.9482	2	119924746	July	2023	Q3	Tuesday	2021.54	1921.71	76.6819	5892870505
7/5/2023	2146.88	2175.11	2091.46	2116.26	2116.26	14056931794	2.53951E+11	7.3939	2	120109597	July	2023	Q3	Wednesday	2033.02	1931.8	84.777	14056931794
7/6/2023	1993.68	1993.79	1926.77	1958.73	1958.73	15298848702	2.35048E+11	-8.0423	2	120109169	July	2023	Q3	Thursday	2032.19	1936.37	85.5798	15298848702
7/7/2023	2068.4	2152.23	2052.05	2078.94	2078.94	6717314571	2.49473E+11	5.7823	2	120008518	July	2023	Q3	Friday	2044.07	1939.84	85.4557	6717314571
7/8/2023	1893.65	1952.39	1877.88	1911.18	1911.18	10757583246	2.29341E+11	-8.7779	2	120190406	July	2023	Q3	Saturday	2034.6	1939.62	96.9644	10757583246
7/9/2023	1978.64	2043.81	1952.69	1967.31	1967.31	11843547634	2.36077E+11	2.853	2	119850220	July	2023	Q3	Sunday	2004.19	1944.3	74.4806	11843547634
7/10/2023	2087.16	2118.88	2046.27	2094.8	2094.8	10535795326	2.51376E+11	6.0864	2	119806779	July	2023	Q3	Monday	2012.43	1950.26	81.5804	10535795326
7/11/2023	2102.82	2219.39	2127.72	2143.51	2143.51	6815375007	2.57221E+11	2.2723	2	120108063	July	2023	Q3	Tuesday	2038.68	1960.27	90.8481	6815375007
7/12/2023	2074.47	2171.09	2033.96	2103.4	2103.4	11284216853	2.52408E+11	-1.9067	2	120122862	July	2023	Q3	Wednesday	2036.84	1968.69	89.1315	11284216853
7/13/2023	2103.6	2152.29	2058.1	2085.59	2085.59	16267670717	2.5027E+11	-0.8543	2	119848083	July	2023	Q3	Thursday	2054.96	1974.36	83.3099	16267670717
7/14/2023	2088.97	2147.53	2026.17	2075.78	2075.78	6065114968	2.49093E+11	-0.4726	2	119906233	July	2023	Q3	Friday	2054.51	1985.2	83.1667	6065114968
7/15/2023	1948.92	2049.34	1915.37	1986.49	1986.49	6202700211	2.38379E+11	-4.4946	2	119807021	July	2023	Q3	Saturday	2065.27	1992.29	64.2563	6202700211
7/16/2023	2029.16	2107.21	1994.97	2051.98	2051.98	10321569378	2.46237E+11	3.1913	2	119917323	July	2023	Q3	Sunday	2077.36	1998.22	48.8702	10321569378
7/17/2023	2055.04	2097.32	2028.25	2077.39	2077.39	19125885674	2.49286E+11	1.2231	2	120109257	July	2023	Q3	Monday	2074.88	2005.94	48.2744	19125885674
7/18/2023	2218.51	2216.89	2167.33	2203.36	2203.36	15028589701	2.64403E+11	5.7174	2	120007184	July	2023	Q3	Tuesday	2083.43	2014.06	64.895	15028589701
7/19/2023	2109.4	2230.79	2114.9	2150.72	2150.72	15180049350	2.58086E+11	-2.4478	2	119939238	July	2023	Q3	Wednesday	2090.19	2023.44	69.6152	15180049350
7/20/2023	1955.04	2039.31	1930.02	1986.5	1986.5	10428799863	2.3838E+11	-8.2666	2	119948696	July	2023	Q3	Thursday	2076.03	2028.45	80.0051	10428799863
7/21/2023	2183.56	2228.61	2071.81	2157.67	2157.67	13904911868	2.58921E+11	7.9331	2	119800541	July	2023	Q3	Friday	2087.73	2031.24	85.7435	13904911868
7/22/2023	2077.95	2151.02	2045.73	2105.02	2105.02	5151967760	2.52602E+11	-2.5012	2	119919920	July	2023	Q3	Saturday	2104.66	2036.54	73.2052	5151967760
7/23/2023	2098.38	2104.63	2034.49	2085.64	2085.64	14541440696	2.50277E+11	-0.9293	2	120058583	July	2023	Q3	Sunday	2109.47	2040.18	70.2122	14541440696
